title,issue_codes,learning_coded,issue_ 1,issue_ 2,issue_ 3,issue_ 4,issue_ 5,issue_ 6,issue_ 7,issue_ 8,issue_ 9,issue_10,issue_11,issue_12,issue_13,issue_14,issue_15,issue_16,matched
Public works projects.,13,13,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.166666666666667,0.142857142857143,0,1
Criminal conversion of leased motor vehicles.,3,3,0,0.333333333333333,2.16666666666667,0,0,0,0,0.166666666666667,0,0,0,0,1,0,0,0,1
Life insurance and Medicaid.,10,10,0,0,0,0.12,0,0.5,0,0.333333333333333,0,3.0262,0,0,0.2,0,0,0,1
Advocacy with public funds.,5,5,0,0,0,0,0.587,0,0,0,0,0,0,0.111111111111111,0,0,0.142857142857143,0,1
Various election law matters.,5,5,0,0,0.333333333333333,0,1.8,0,0,0.166666666666667,0.333333333333333,0,0.0833333333333333,0.111111111111111,0.2,0,0,0.133333333333333,1
CEDIT for Perry County jail.,15,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.133333333333333,0
State official documents to be printed in English.,11,11,0.5,0.166666666666667,0.166666666666667,0,0.2,0,0,0.166666666666667,0,0,1.41666666666667,0.111111111111111,0.2,0,0.571428571428571,0.666666666666667,1
School corporation health insurance.,4,8,0,0,0.166666666666667,1.16,0,0.5,0,1.19286666666667,0,1.0262,0,0.111111111111111,0.2,0,0,0.133333333333333,0
Various provisions concerning courts.,3,3,0,0,1.35953333333333,0,0.2,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,1
Parental reimbursement for juvenile services.,3,3,0,0.166666666666667,1.5,0.08,0,0,0,0.5,0,0,0.25,0,0,0,0,0.133333333333333,1
Criminal conversion of leased motor vehicles.,3,3,0,0.333333333333333,2.16666666666667,0,0,0,0,0.166666666666667,0,0,0,0,1,0,0,0,1
Metropolitan planning organizations.,12,12,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,1
Education.,4,4,0,0,0.166666666666667,1.0262,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1
Commercial feed certification.,1,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,1
Participation in school athletics.,4,4,0,0,0.166666666666667,1.12,0,0,0,0,0,0,0,0.222222222222222,0,0,0,0.0666666666666667,1
Prohibiting resident tuition for illegal aliens.,4,4,0,0,0.166666666666667,0.36,0,0,0,0,0,0,0,0,0,0,0,0,1
Volunteer fire department fees.,12,3,0,0,0.666666666666667,0,0,0,0,0.166666666666667,0,0,0.0833333333333333,0.555555555555556,0.4,0,0,0.0666666666666667,0
Unemployment insurance.,6,10,0,0,0,0.08,0,0.887,0,0.333333333333333,0,2.0262,0,0,0.2,0,0,0,0
Dealer services division of the secretary of state.,11,11,0.5,0.666666666666667,1,0.04,0.2,0,0,0.5,0,0,1.75,0.111111111111111,0,0,0.571428571428571,0.733333333333333,1
Floyd County park district.,12,12,0,0.166666666666667,0,0,0.2,0,0,0,0,0,0,1.33333333333333,0,0,0.285714285714286,0.133333333333333,1
Smoking devices and tobacco businesses.,8,8,0,0.166666666666667,0,0.04,0,0,0,1.16666666666667,0,0,0,0,0,0,0,0,1
Minimum wage required by local unit.,6,6,0,0.166666666666667,0,0,0,1.387,0,0,0,0,0.0833333333333333,1.0262,0.4,0,0.428571428571429,0,1
Regulation of residential leases.,2,2,0,1,0,0.04,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.111111111111111,0,0.166666666666667,0,0,1
 Updates date references in the statute establishing general technical provisions relating to legislative redistricting.,5,5,0,0,0.333333333333333,0,2.6,0,0,0,0,0,0,0.222222222222222,0,0,0,0.466666666666667,1
 Establishes the 2011 Indiana congressional district plan.,5,5,0.5,0.333333333333333,0,0.04,1.2,0,0,0.333333333333333,0,0,0.166666666666667,0.111111111111111,0.6,0.166666666666667,0.142857142857143,0.733333333333333,1
Urging the United States government to cease mandates.,11,11,0,0,0,0,0,0,0,0,0,0,1.44286666666667,1.0262,0,0.833333333333333,0,0.533333333333333,1
 Marriage.,8,8,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1
Teacher evaluations and licensing.,4,6,0,0.166666666666667,0,0.24,0,0.25,0,0,0,0,0,0,0.2,0,0,0,0
Vote centers.,5,5,0,0,0.333333333333333,0,0.4,0,0,0,0,0,0,0,0,0,0,0,1
Various riverboat matters.,2,2,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Local regulation of video service franchises.,2,2,0,1.5,0,0,0,0.25,0,0.333333333333333,0,0,0.416666666666667,1.13731111111111,0.6,0,0.428571428571429,0.2,1
Credit agreements.,9,9,0,0.5,0.166666666666667,0,0,0,0,0,1.33333333333333,0,0,0,0,0,0.142857142857143,0,1
Local government issues.,12,12,0,0.166666666666667,0,0,0,0.25,0.333333333333333,0,0.333333333333333,0,1.2762,2.49684444444444,0.8,0,0.428571428571429,0,1
Utility matters.,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Coal bed methane and other oil and gas issues.,7,7,0,0,0,0,0,0,2.33333333333333,0,0.333333333333333,0,0.166666666666667,0.444444444444444,0.4,0.5,0,1.0262,1
Concussions and head injuries in student athletes.,8,8,0,0,0,0.387,0,0,0,0.833333333333333,0,0,0,0,0,0,0,0,1
Operator's license and learner's permit issues.,13,13,0,0.166666666666667,0,0,0,0.5,0.333333333333333,0.166666666666667,0.333333333333333,0,0.166666666666667,0.555555555555556,2.2,0,0.142857142857143,0.6,1
Adjustments of debt of a political subdivision.,12,12,0,0,0,0,0.2,0,0,0.166666666666667,0,0,0,0.444444444444444,0,0,0,0,1
Driver education.,4,4,0,0,0.166666666666667,1.0662,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1
Tax liens.,15,2,0,1,0,0,0,0,0,0.333333333333333,0,0,0,0.666666666666667,0,0,0.529857142857143,0,0
Forfeiture.,3,3,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Clean energy.,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19286666666667,0,0.133333333333333,1
Preemption of local firearm regulation.,12,12,0,0.887,0.166666666666667,0,0,0.5,0,0.166666666666667,0,0,0.25,1.35953333333333,0.4,0,0.428571428571429,0,1
Boat patrol grants.,15,15,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.111111111111111,0,0,0.428571428571429,0,1
Swap agreements.,15,9,0,0.166666666666667,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0.285714285714286,0,0
Disclosure of firearm or ammunition information.,6,6,0,0.387,0.333333333333333,0,0,1,0,0,0,0,0,0.111111111111111,0.2,0,0,0,1
Type II gaming.,2,2,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1
Federal health care matters.,8,8,0,0,0,0.04,0,0,0,2.19286666666667,0,0,0.0833333333333333,0,0,0,0,0.0666666666666667,1
Department of child services.,8,3,0,0.166666666666667,1.16666666666667,0.04,0,0,0,0.887,0,0,0.25,0.111111111111111,0,0,0,0.266666666666667,0
Various transportation issues.,13,13,0,0.166666666666667,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0.166666666666667,0.444444444444444,1.4262,0,0,0,1
Lawsuits by school corporations.,4,4,0,0,0.166666666666667,1.08,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0.0666666666666667,1
Parental initiatives for school reorganization.,4,4,0,0,0.333333333333333,1.12,0,0,0,0.166666666666667,0,0,0,0.333333333333333,0,0,0,0.0666666666666667,1
Higher education scholarship.,4,4,0,0,0.166666666666667,1.3462,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1
Government matters.,11,11,0,0,0,0,0,0,0,0,0,0,1.0262,1.0262,0,0,0,0,1
Design-build public works projects.,13,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0.166666666666667,0.142857142857143,0,1
Teacher collective bargaining.,6,6,0,0,0,0.16,0,0.75,0,0,0,0,0,0,0,0,0,0,1
Financial aid.,4,9,0,0,0,0.08,0,0,0,0,1.0262,0,0,0,0,0,0,0,0
Economic development and state tax matters.,2,2,0.5,3.0524,0,0,0.2,0,0,0.333333333333333,0,0,1,0.777777777777778,0,0.166666666666667,0.958428571428571,0.6,1
Illegal immigration matters.,3,8,0,0,0.333333333333333,0.04,0,0,0,0.387,0,0,0,0,0,0,0,0,0
Employee's right to work.,6,6,0,0.166666666666667,0,0.12,0,2.5,0.333333333333333,0.333333333333333,0,0,0.166666666666667,0.111111111111111,0.6,0,0.142857142857143,0.666666666666667,1
Elimination of commissions, boards, and committees.,11,11,0,0,0.166666666666667,0,0,0,0.333333333333333,0,0,0,0.416666666666667,0.222222222222222,0.2,0,0,0,1
Public access issues.,11,11,0,0,0,0,0,0,0.333333333333333,0.166666666666667,0.333333333333333,0,0.553666666666667,0.444444444444444,0.4,0,0,0.0666666666666667,1
Nepotism; conflict of interest.,11,11,0,0.166666666666667,0,0,0,0,0,0,0,0,0.416666666666667,0,0,0,0,0,1
Drug testing.,8,8,0,0,0.166666666666667,0,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0,1
Provides that the cap on the fees for program services provided to a person participating in a court established alcohol and drug services program does not apply to fees for education or treatment and rehabilitation services.,3,3,0,0.166666666666667,4.33333333333333,1.1062,0,0,0,1.5,0,0,0.25,0.222222222222222,0.4,0.333333333333333,0.142857142857143,0.333333333333333,1
Health care sharing ministries.,8,8,0,0,0,0.04,0,0,0,2.35953333333333,0,0,0,0,0,0,0,0.0666666666666667,1
Novelty lighters.,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333333333,1
Agricultural operations.,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,1
Regional water, sewage, or waste districts and utilities.,14,14,0,0,0,0,0,0,1,0,0,0,0.0833333333333333,0.111111111111111,0,2.19286666666667,0,0,1
Controlled projects.,15,13,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0.6,0.166666666666667,0.285714285714286,0,0
Smoking ban.,8,8,0,0,0,0,0,0,0,0.833333333333333,0,0,0,0,0,0,0,0,1
Local purchasing and public works preferences.,13,13,0,0.333333333333333,0,0,0,0.25,0,0,0,0,0.0833333333333333,1.0262,2.2,0,0.428571428571429,0,1
Relocation of new motor vehicle dealers.,2,2,0,1.83333333333333,0.333333333333333,0,0,0,0,0,0,0,0.0833333333333333,0,1.2,0,0,0.866666666666667,1
Various IOSHA matters.,6,6,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1
School finance.,4,4,0,0,0.166666666666667,1.08,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0.0666666666666667,1
Property taxes.,15,15,0,0.333333333333333,0.166666666666667,0.04,0.2,0,0,0,0.333333333333333,0,0.0833333333333333,0.333333333333333,0,0,1.387,0,1
Mopeds.,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,1
Inheritance tax.,15,2,0,0.833333333333333,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0.672714285714286,0,0
State provision and use of communications service.,11,11,0.5,0.833333333333333,0,0.04,0.2,0,0,0.333333333333333,0,0,1.5,0.111111111111111,0.4,0,0.714285714285714,0.8,1
School employee contracts.,4,4,0,0,0.166666666666667,1.2,0,1,0,0.166666666666667,0,0,0.333333333333333,0.111111111111111,0,0.166666666666667,0,0.0666666666666667,1
State civil service system.,11,11,0.5,0.666666666666667,0.333333333333333,0,0.2,0,0,0.333333333333333,0.333333333333333,0,1.41666666666667,0.222222222222222,0.2,0,0.571428571428571,0.866666666666667,1
Commission for higher education.,4,4,0,0,0.166666666666667,1.2662,0.2,0,0,0.5,0,0,0.0833333333333333,0,0,0.166666666666667,0,0.0666666666666667,1
Septic tanks and sewer systems.,7,7,0,0,0,0,0.4,0,1.66666666666667,0,0,0,0,0,0.4,0.5,0,0,1
Operator's license renewal schedule and fees.,13,13,0,0.166666666666667,0.5,0,0,0.5,0,0.166666666666667,0,0,0,0.222222222222222,2.2,0,0.142857142857143,0.6,1
Hunting preserves.,7,7,0,0,0,0,0,0,1.66666666666667,0,0,0,0,0,0,0,0,0,1
Health care compact.,8,8,0,0,0,0.04,0,0,0,2.19286666666667,0,0,0,0,0,0,0,0.0666666666666667,1
Higher education.,4,4,0,0,0.166666666666667,1.2262,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1
Regulatory matters.,11,11,0,0,0,0,0,0,0,0,0,0,1.0262,0,0,0.166666666666667,0,0,1
Sale of poultry at farmer's markets.,2,2,0.5,1.33333333333333,0,0,0,0.5,0,0.166666666666667,0,0,0.0833333333333333,0.111111111111111,0.6,0,0.142857142857143,0.733333333333333,1
Various education matters.,4,4,0,0,0.166666666666667,1.0262,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1
Deaf and hard of hearing education services.,4,4,0,0.166666666666667,1.16666666666667,1.1862,0,0,0,0.666666666666667,0,0,0.25,0,0,0,0,0.133333333333333,1
State and local administration.,11,12,0.5,0.333333333333333,0,0.04,0.4,0.25,0,0.166666666666667,0,0,1.16666666666667,1.24842222222222,0.4,0,1,0.6,0
Self defense.,3,3,0,0.166666666666667,0.333333333333333,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,1
Duty to support a child.,8,8,0,0,0,0,0,0,0,0.720333333333333,0,0,0,0,0,0,0,0.133333333333333,1
Environmental boards.,7,7,0,0,0,0,0,0,1.33333333333333,0,0,0,0.0833333333333333,0,0.2,0,0,0,1
Water utility resource data.,14,14,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,1.66666666666667,0,0.0666666666666667,1
Portable electronics insurance.,10,10,0,0,0,0.08,0,0.5,0,0.166666666666667,0,3.0262,0,0,0.2,0,0,0,1
Sales of motorcycles on Sunday.,2,2,0,1.33333333333333,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0.285714285714286,0.0666666666666667,1
Motor vehicle law.,13,13,0,0.666666666666667,0.666666666666667,0,0.8,0,0,0.166666666666667,0.333333333333333,0,0.0833333333333333,0,1.4,0,0,0.866666666666667,1
School consolidation executive session.,4,4,0,0,0.166666666666667,1.12,0,0,0,0,0,0,0,0.222222222222222,0,0,0,0.2,1
School finance.,4,4,0,0,0.166666666666667,1.08,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0.0666666666666667,1
Nonpublic alternative high schools; residential facilities.,4,4,0,0.5,0,0.627,0,0,0.333333333333333,0.333333333333333,0,0,0.25,0,0,0.166666666666667,0,0,1
Inheritance tax.,15,2,0,0.833333333333333,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0.672714285714286,0,0
Certified scholarship program eligibility.,4,4,0,0,0,0.2,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,1
Local purchasing and public works preferences.,13,13,0,0.333333333333333,0,0,0,0.25,0,0,0,0,0.0833333333333333,1.0262,2.2,0,0.428571428571429,0,1
Charity gaming.,2,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,1
Statewide 911 system.,12,12,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.333333333333333,0,0,0,0,1
School accreditation.,4,4,0,0,0.166666666666667,1.04,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0.0666666666666667,1
Biennial budget.,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571428571429,0,1
Nonpublic school scholarships.,4,4,0,0,0.166666666666667,1.2,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0.0666666666666667,1
Education.,4,4,0,0,0.166666666666667,1.0262,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1
Use tax nexus and collection.,15,2,0,1,0,0.04,0,0,0,0.166666666666667,0,0,0.166666666666667,0.666666666666667,0.2,0,0.815571428571429,0,0
Unemployment compensation.,6,10,0,0,0,0,0,0.637,0,0.166666666666667,0,1,0.0833333333333333,0.111111111111111,0,0,0,0,0
Public mass transportation.,13,13,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,1.2262,0,0,0,1
Local food and beverage taxes.,12,12,0,0.166666666666667,0,0,0,0.25,0,0,0,0,0.0833333333333333,1.35953333333333,0.4,0,0.815571428571429,0,1
Charges for consumer loans and credit sales.,9,9,0,1,0.166666666666667,0.04,0,0,0,0,3.66666666666667,0,0,0,0,0,0.285714285714286,0,1
Various property issues.,9,15,0,0.333333333333333,0.166666666666667,0.04,0.2,0,0.333333333333333,0,0.666666666666667,0,0.25,0.666666666666667,0.4,0,1,0,0
Sentencing alternatives for youthful offenders.,3,3,0,0,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Property taxes.,15,15,0,0.333333333333333,0.166666666666667,0.04,0.2,0,0,0,0.333333333333333,0,0.0833333333333333,0.333333333333333,0,0,1.387,0,1
County excise surtax and wheel tax.,12,12,0,0.833333333333333,0,0,0,0,0,0,0,0,0,2,0,0,0.672714285714286,0.133333333333333,1
Midwives.,8,8,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,1
IURC review of extraterritorial water rates.,7,7,0,0.166666666666667,0.166666666666667,0,0,0,1.66666666666667,0,0,0,0,0,0,0.333333333333333,0,0,1
Various local government matters.,12,12,0,0.166666666666667,0,0,0,0.25,0,0,0,0,1.10953333333333,2.0524,0.4,0,0.428571428571429,0,1
Public records.,12,12,0,0,0.166666666666667,0.04,0,0,0,0,0,0,0,0.387,0,0,0,0,1
Uninsured and underinsured motorist coverage.,10,10,0,0,0,0,0,0,0.333333333333333,0.166666666666667,0,4,0,0,0,0,0,0,1
Municipally owned utilities.,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35953333333333,0,0,1
Regulation of residential landlords, builders, and remodelers.,11,2,0,0.666666666666667,0,0.04,0,0,0.333333333333333,0.333333333333333,0,0,0.583333333333333,0.111111111111111,0,0.166666666666667,0,0,0
Teacher liability insurance.,4,10,0,0,0,0.28,0,0.75,0,0.166666666666667,0,1.0262,0,0,0.2,0,0,0,0
School accountability and turnaround academies.,4,4,0,0,0.166666666666667,1.16,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0.0666666666666667,1
Charter schools.,4,4,0,0,0,0.587,0,0,0,0,0,0,0,0,0,0,0,0,1
School administrators.,4,4,0,0,0.166666666666667,1.04,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0.0666666666666667,1
Age-restricted housing programs.,2,2,0,1,0,0.08,0.2,0,0,0,0,0,0,0,0,0,0,0,1
Intimidation or torment of a school employee.,4,4,0,0,0.166666666666667,1.2,0,1,0,0.166666666666667,0,0,0.166666666666667,0.111111111111111,0,0,0,0.0666666666666667,1
Public school transfers.,4,4,0,0,0.166666666666667,1.04,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0.0666666666666667,1
Election administration.,5,5,0,0,0,0.04,1.2,0,0,0,0,0,0.0833333333333333,0.222222222222222,0,0,0,0,1
Judicial technology and automation.,3,3,0,0.166666666666667,1.35953333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Various education matters.,4,4,0,0,0.166666666666667,1.0262,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1
Recording of new lots.,11,2,0,0.833333333333333,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.133333333333333,0
Unemployment insurance.,10,10,0,0,0,0.08,0,0.887,0,0.333333333333333,0,2.0262,0,0,0.2,0,0,0,1
Jackson County adjusted gross income tax.,12,12,0,0.833333333333333,0,0,0,0,0,0,0,0,0,2.22222222222222,0,0,1.81557142857143,0.133333333333333,1
Residential onsite sewage systems.,14,7,0,0.333333333333333,0,0.04,0.4,0,1.66666666666667,0.166666666666667,0,0,0.25,0,0.4,0.833333333333333,0,0,0
Permits for loads.,13,13,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0.111111111111111,0.4,0,0,0,1
Expungement.,3,3,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Drug testing of recipients of assistance.,8,8,0,0.166666666666667,0.166666666666667,0,0,0,0,1.83333333333333,0,0,0,0,0,0,0,0.0666666666666667,1
Moped operation and licensing.,13,13,0,0.166666666666667,0,0.04,0,0,0,0,0,0,0,0,0.6,0,0,0,1
Motorsports.,13,13,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,1
Various tax matters.,15,2,0,0.833333333333333,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0.387,0,0
Natural resources matters.,7,7,0,0,0,0,0,0,2.0524,0,0,0,0,0,0,0.666666666666667,0,0.0666666666666667,1
Township and municipal matters.,12,12,0,0,0,0,0,0,0,0,0,0,0,0.777777777777778,0,0.166666666666667,0,0,1
Medicaid matters.,8,10,0,0,0,0,0,0,0,0.166666666666667,0,1,0,0,0,0,0,0,0
Hospital liens and ambulance liens.,8,8,0,0.166666666666667,0,0,0,0,0,0.833333333333333,0,0,0,0,0,0,0.142857142857143,0,1
Motorsports investment district.,2,2,0,0.5,0,0,0.2,0,0,0,0,0,0,0.111111111111111,0.2,0,0,0,1
Electric transmission owners.,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Higher education grading practices and faculty organization.,4,4,0,0,0.166666666666667,1.3862,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.0666666666666667,1
Sewer connections.,14,14,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0.5,0,0,1
Resident tuition rate.,4,4,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,1
Employee benefits.,6,6,0,0,0,0.12,0,1.75,0,0.166666666666667,0,0,0.166666666666667,0,0,0,0,0,1
Duties of Article V convention delegates.,5,5,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,1
Appointment of delegates to Article V convention,5,5,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,1
Video service providers.,2,2,0,1,0,0,0,0,0,0.5,0,0,0.166666666666667,0,0.2,0,0,0.2,1
Rental purchase agreements.,2,2,0,0.5,0,0,0,0,0,0,0.333333333333333,0,0.0833333333333333,0,0,0,0.142857142857143,0,1
Charges for consumer loans and credit sales.,9,9,0,1,0.166666666666667,0.04,0,0,0,0,3.66666666666667,0,0,0,0,0,0.285714285714286,0,1
Prescription products.,8,8,0,0,0,0,0,0,0.333333333333333,0.5,0,0,0,0,0,0,0,0,1
Abortion inducing drugs and abortion clinics.,8,8,0,0,0,0,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0,1
Criminal trespass and application fraud.,3,3,0.5,0,1.5,0,0,0,0.333333333333333,0.166666666666667,0,0,0,0,0,0,0,0,1
Interim study committee.,16,16,0,0,0.166666666666667,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,1.2,1
Shooting and hunting preserves.,7,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
Substitute natural gas.,14,14,0,0,0,0,0,0,1.35953333333333,0,0,0,0,0,0,1.5,0,0,1
Substitute natural gas (SNG) contracts.,14,14,0,0,0,0.08,0,0,1.35953333333333,0,0,0,0.166666666666667,0,0,1.83333333333333,0,0,1
Various election law matters.,5,5,0,0,0.333333333333333,0,1.8,0,0,0.166666666666667,0.333333333333333,0,0.0833333333333333,0.111111111111111,0.2,0,0,0.133333333333333,1
Various election law matters.,5,5,0,0,0.333333333333333,0,1.8,0,0,0.166666666666667,0.333333333333333,0,0.0833333333333333,0.111111111111111,0.2,0,0,0.133333333333333,1
Indiana-Michigan state boundary commission.,11,11,1,0.333333333333333,0,0.08,0.6,0,0,0.5,0,0,1.41666666666667,0.111111111111111,0.6,0.333333333333333,0.714285714285714,1.4,1
Gaming.,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,1
Higher education student loans.,4,4,0,0,0.166666666666667,1.6532,0,0,0,0.5,0.666666666666667,0,0,0,0,0,0,0,1
Utility transmission.,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,1
IDEM notice procedures.,7,7,0,0,0,0,0,0,1,0.166666666666667,0,0,0,0,0,0,0,0,1
Marion County government.,12,12,0,0,0,0,0,0,0,0,0,0,1.0262,2.24842222222222,0,0,0.285714285714286,0.133333333333333,1
State and local taxation.,15,15,0.5,0.333333333333333,0,0,0.2,0.25,0,0.166666666666667,0,0,1.08333333333333,1.13731111111111,0.4,0,1.387,0.6,1
Government reduction.,11,11,0,0,0,0,0,0,0,0,0,0,1.10953333333333,1.0262,0,0,0,0,1
Redistricting commission.,5,5,0,0,0,0.04,0.8,0,0,0.166666666666667,0,0,0.0833333333333333,0,0,0.166666666666667,0,0.0666666666666667,1
Child care and development fund eligibility.,8,8,0,1.0262,0,0.04,0,0,0,1.887,0,0,0,0,0,0.166666666666667,0,0.0666666666666667,1
School bus camera enforcement devices.,4,4,0,0.166666666666667,0.333333333333333,1.16,0,0,0,0.333333333333333,0,0,0,0.111111111111111,0,0,0,0.133333333333333,1
Charter school athletic participation.,4,4,0,0,0.166666666666667,1.32,0,0,0,0,0,0,0,0.222222222222222,0,0,0,0.0666666666666667,1
Child labor law and unemployment insurance.,8,10,0,0,0.333333333333333,0.08,0.8,1.9132,0,1.05366666666667,0.333333333333333,2.0262,0.0833333333333333,0,0.4,0,0,0.266666666666667,0
Securities law.,9,5,0,0.166666666666667,0.333333333333333,0,0.8,0,0,0.166666666666667,0.666666666666667,0,0.0833333333333333,0,0.2,0,0,0.133333333333333,0
