name	party	np_score
"MORRISON, ALAN"	R	0.965
"MOSELEY, CHARLES A (CHUCK)"	D	-0.54
"MOSES JR, WINFIELD C"	D	-0.44
"NEESE, TIMOTHY"	R	0.741
"NEGELE, SHARON"	R	0.874
"NIEMEYER, RICK"	R	0.663
"NIEZGODSKI, DAVID L"	D	-0.422
"NOE, CYNTHIA JEAN"	R	1.007
"OBER, DAVID L"	R	0.881
"PELATH, SCOTT DOUGLAS"	D	-0.541
"PFLUM, PHILLIP C"	D	-0.375
"PIERCE, MATT"	D	-0.634
"POND, PHYLLIS J"	R	0.763
"PORTER, GREGORY W"	D	-0.937
"PRICE, JOHN"	R	0.91
"PRYOR, CHERRISH S"	D	-0.897
"RESKE, SCOTT E"	D	-0.332
"RHOADS, RHONDA J"	R	1.099
"RICHARDSON, KATHY KREAG"	R	0.949
"RIECKEN, GAIL"	D	-0.44
"SAUNDERS, THOMAS E (TOM)"	R	0.757
"SHACKLEFORD, ROBIN"	D	-0.723
"SLAGER, HAROLD (HAL)"	R	0.796
"SMALTZ, BEN"	R	0.926
"SMITH JR, MILO"	R	0.947
"SMITH, VERNON G"	D	-0.764
"SOLIDAY, EDMOND (ED)"	R	0.694
"SPEEDY, MIKE"	R	1.068
"STEMLER, STEVEN RAY"	D	-0.147
"STEUERWALD, GREGORY E"	R	0.897
"STEVENSON SR, DAN C"	D	-0.466
"SULLIVAN, HOLLI"	R	1.018
"SULLIVAN, MARY ANN"	D	-0.138
"SUMMERS, VANESSA J"	D	-0.872
"THOMPSON, JEFFREY A"	R	1.037
"TORR, GERALD R (JERRY)"	R	1.121
"TRUITT, RANDY"	R	0.707
"TURNER, PAUL ERIC"	R	1.057
"TYLER, DENNIS A"	D	-0.368
"UBELHOR, MATTHEW (MATT)"	R	0.9
"VANDENBURGH, SHELLI"	D	-0.457
"VANNATTER, HEATH"	R	1.127
"WASHBURNE, THOMAS W"	R	0.864
"WELCH, PEGGY M"	D	-0.212
"WESCO, TIMOTHY"	R	1.121
"WHITE, MIKE"	D	-0.256
"WOLKINS, DAVID A"	R	0.994
"YARDE II, DAVID"	R	0.919
"ZENT, DENNIS J (DENNY)"	R	0.945
"ZIEMKE, CINDY MEYER"	R	0.935
