subject_categories,subject_count
"Chesapeake Bay",20
"Child care and development",306
"Child health",821
"Child safety and welfare",565
"Chile",1
"China",128
"Citizenship and naturalization",132
"Civil Rights and Liberties, Minority Issues",2
"Civil actions and liability",1225
"Civil disturbances",1
"Climate change and greenhouse gases",358
"Coal",220
"Coast guard",130
"Collective security",4
"Colombia",21
"Colorado",123
"Commemorative events and holidays",1385
"Commerce",246
"Commission of Fine Arts",7
"Commission on Civil Rights",12
"Committee for Purchase from People Who Are Blind or Severely Disabled",9
"Commodities markets",91
"Commodity Credit Corporation",2
"Commodity Futures Trading Commission",69
"Community life and organization",90
"Commuting",43
"Competition and antitrust",133
"Competitiveness, trade promotion, trade deficits",277
"Comprehensive health care",322
"Computer security and identity theft",361
"Computers and information technology",492
"Conflicts and wars",539
"Congress",7112
"Congressional Budget Office (CBO)",18
"Congressional Research Service (CRS)",17
"Congressional agencies",98
"Congressional committees",243
"Congressional districts and representation",32
"Congressional elections",145
"Congressional leadership",39
"Congressional officers and employees",161
"Congressional operations and organization",213
"Congressional oversight",3927
"Congressional tributes",1569
"Congressional-executive branch relations",89
"Connecticut",69
"Constitution and constitutional amendments",329
"Consumer Financial Protection Bureau",157
"Consumer Product Safety Commission",46
"Consumer affairs",624
"Consumer credit",262
"Contracts and agency",122
"Cooperative and condominium housing",12
"Corporate finance and management",376
"Corporation for National and Community Service",16
"Corporation for Public Broadcasting",10
"Correctional facilities and imprisonment",259
"Costa Rica",12
"Credit and credit markets",115
"Crime and Law Enforcement",2
"Crime prevention",336
"Crime victims",577
"Crimes against animals and natural resources",48
"Crimes against children",256
"Crimes against property",95
"Crimes against women",245
"Criminal investigation, prosecution, interrogation",869
"Criminal justice information and records",593
"Criminal procedure and sentencing",397
"Croatia",6
"Cuba",142
"Cultural exchanges and relations",66
"Currency",150
"Customs enforcement",158
"Cyprus",6
"Czech Republic",6
"Dams and canals",180
"Debt collection",101
"Defense Nuclear Facilities Safety Board",18
"Defense spending",274
"Delaware",41
"Delta Regional Authority",13
"Democratic Republic of the Congo",18
"Denali Commission",12
"Denmark",4
"Dental care",57
"Department of Agriculture",190
"Department of Commerce",207
"Department of Defense",401
"Department of Education",103
"Department of Energy",175
"Department of Health and Human Services",658
"Department of Homeland Security",497
"Department of Housing and Urban Development",71
"Department of Justice",286
"Department of Labor",201
"Department of State",170
"Department of Transportation",259
"Department of Veterans Affairs",451
"Department of the Interior",317
"Department of the Treasury",424
"Detention of persons",350
"Digestive and metabolic diseases",183
"Digital media",31
"Diplomacy, foreign officials, Americans abroad",618
"Director of National Intelligence",22
"Disability and health-based discrimination",126
"Disability and paralysis",568
"Disability assistance",252
"Disaster relief and insurance",412
"District of Columbia",263
"Djibouti",2
"Domestic violence and child abuse",243
"Dominica",15
"Dominican Republic",9
"Drug Enforcement Administration (DEA)",30
"Drug safety, medical device, and laboratory regulation",257
"Drug therapy",186
"Drug trafficking and controlled substances",449
"Drug, alcohol, tobacco use",448
"Due process and equal protection",88
"Earth sciences",41
"East Timor",1
"Ecology",88
"Economic development",265
"Economic performance and conditions",373
"Economic theory",13
"Economics and Public Finance",3
"Ecuador",7
"Education",2143
"Education of the disadvantaged",373
"Education programs funding",1196
"Educational facilities and institutions",219
"Educational guidance",55
"Educational technology and distance education",141
"Egypt",44
"El Salvador",33
"Election Assistance Commission",19
"Elections, voting, political campaign regulation",360
"Electric power generation and transmission",503
"Elementary and secondary education",1265
"Emergency Management",52
"Emergency communications systems",117
"Emergency medical services and trauma care",345
"Emergency planning and evacuation",252
"Employee benefits and pensions",668
"Employee hiring",325
"Employee leave",140
"Employee performance",81
"Employment and training programs",595
"Employment discrimination and employee rights",399
"Employment taxes",164
"Endangered and threatened species",216
"Energy",1510
"Energy assistance for the poor and aged",58
"Energy efficiency and conservation",510
"Energy prices",101
"Energy research",174
"Energy revenues and royalties",107
"Energy storage, supplies, demand",267
"Environmental Protection",379
"Environmental Protection Agency (EPA)",375
"Environmental assessment, monitoring, research",582
"Environmental health",148
"Environmental regulatory procedures",348
"Environmental technology",201
"Equal Employment Opportunity Commission (EEOC)",24
"Eritrea",2
"Espionage and treason",28
"Estonia",12
"Ethiopia",12
"Ethnic studies",10
"Europe",424
"European Union",65
"Everglades",13
"Evidence and witnesses",478
"Executive Office of the President",84
"Executive agency funding and structure",1952
"Export-Import Bank of the United States",33
"Families",6
"Family planning and birth control",101
"Family relationships",222
"Family services",106
"Farm Credit Administration",11
"Farmland",65
"Federal Bureau of Investigation (FBI)",41
"Federal Communications Commission (FCC)",126
"Federal Crop Insurance Corporation",1
"Federal Deposit Insurance Corporation (FDIC)",82
"Federal Election Commission (FEC)",31
"Federal Emergency Management Agency (FEMA)",49
"Federal Energy Regulatory Commission (FERC)",83
"Federal Home Loan Bank Board",2
"Federal Housing Finance Agency",22
"Federal Labor Relations Authority",12
"Federal Maritime Commission",18
"Federal Mediation and Conciliation Service",9
"Federal Mine Safety and Health Review Commission",9
"Federal Prison Industries, Inc.",4
"Federal Reserve System",166
"Federal Retirement Thrift Investment Board",2
"Federal Trade Commission (FTC)",118
"Federal appellate courts",103
"Federal district courts",99
"Federal officials",445
"Federal preemption",167
"Federal-Indian relations",250
"Federally chartered organizations",33
"Finance and Financial Sector",3
"Financial Stability Oversight Council",16
"Financial crises and stabilization",57
"Financial literacy",59
"Financial services and investments",475
"Finland",1
"Firearms and explosives",497
"Fires",259
"First Amendment rights",76
"First responders and emergency personnel",222
"Fishes",155
"Floods and storm protection",223
"Florida",141
"Food and Drug Administration (FDA)",129
"Food assistance and relief",292
"Food industry and services",138
"Food supply, safety, and labeling",170
"Foreign Trade and International Finance",4
"Foreign aid and international relief",582
"Foreign and international banking",115
"Foreign and international corporations",140
"Foreign labor",239
"Foreign language and bilingual programs",107
"Foreign loans and debt",65
"Foreign property",129
"Forests, forestry, trees",457
"France",31
"Fraud offenses and financial crimes",666
"Free trade and trade barriers",91
"Freedom of information",69
"Fruit and vegetables",75
"Gambling",88
"Games and hobbies",22
"Gaza Strip",43
"General Native American affairs matters",7
"General Services Administration",46
"General agriculture matters",28
"General education matters",1
"General energy matters",16
"General foreign operations matters",1
"General health and health care finance matters",5
"General public lands matters",73
"General science and technology matters",17
"General taxation matters",29
"Genetics",101
"Geography",23
"Georgia",96
"Georgia (Republic)",19
"Germany",49
"Ghana",2
"Government Accountability Office (GAO)",40
"Government National Mortgage Association (Ginnie Mae)",10
"Government Operations and Politics",12
"Government Publishing Office (GPO)",21
"Government buildings, facilities, and property",702
"Government corporations and government-sponsored enterprises",146
"Government employee pay, benefits, personnel management",1427
"Government ethics and transparency, public corruption",461
"Government information and archives",2948
"Government lending and loan guarantees",662
"Government liability",258
"Government studies and investigations",2436
"Government trust funds",740
"Grain",35
"Great Lakes",101
"Great Plains",1
"Greece",15
"Grenada",3
"Guam",95
"Guatemala",40
"Guinea",7
"Gulf States",10
"Gulf of Mexico",93
"Guyana",4
"HIV/AIDS",111
"Haiti",35
"Hate crimes",21
"Hawaii",260
"Hazardous wastes and toxic substances",519
"Health",7821
"Health care costs and insurance",1088
"Health care coverage and access",1205
"Health care quality",388
"Health facilities and institutions",594
"Health information and medical records",816
"Health personnel",831
"Health programs administration and funding",932
"Health promotion and preventive care",779
"Health technology, devices, supplies",372
"Hearing, speech, and vision care",89
"Hereditary and development disorders",75
"Higher education",1399
"Historic sites and heritage areas",331
"Historical and cultural resources",178
"Home and outpatient care",267
"Homeland security",168
"Homelessness and emergency shelter",173
"Honduras",40
"Hong Kong",9
"Horticulture and plants",59
"Hospital care",297
"House Committee on Agriculture",17
"House Committee on Appropriations",16
"House Committee on Armed Services",15
"House Committee on Education and the Workforce",14
"House Committee on Energy and Commerce",14
"House Committee on Ethics",11
"House Committee on Financial Services",15
"House Committee on Foreign Affairs",16
"House Committee on Homeland Security",15
"House Committee on House Administration",13
"House Committee on Natural Resources",19
"House Committee on Oversight and Government Reform",19
"House Committee on Rules",9
"House Committee on Science, Space, and Technology",22
"House Committee on Small Business",20
"House Committee on Standards of Official Conduct",1
"House Committee on Transportation and Infrastructure",14
"House Committee on Veterans' Affairs",15
"House Committee on Ways and Means",16
"House Committee on the Budget",25
"House Committee on the Judiciary",15
"House Permanent Select Committee on Intelligence",5
"House of Representatives",593
"Housing and Community Development",1
"Housing and community development funding",257
"Housing discrimination",28
"Housing finance and home ownership",382
"Housing for the elderly and disabled",74
"Housing industry and standards",38
"Housing supply and affordability",77
"Human rights",568
"Human trafficking",269
"Humanities programs funding",25
"Hungary",5
"Hunting and fishing",146
"Hybrid, electric, and advanced technology vehicles",109
"Hydrology and hydrography",60
"Iceland",3
"Idaho",100
"Illinois",98
"Immigrant health and welfare",68
"Immigration",556
"Immigration status and procedures",554
"Immunology and vaccination",103
"Income tax credits",842
"Income tax deductions",567
"Income tax deferral",57
"Income tax exclusion",499
"Income tax rates",197
"India",1190
"Indian claims",82
"Indian lands and resources rights",392
"Indian social and development programs",374
"Indiana",33
"Indonesia",13
"Industrial facilities",126
"Industrial policy and productivity",54
"Infectious and parasitic diseases",208
"Inflation and prices",403
"Infrastructure development",196
"Insects",43
"Insurance industry and regulation",180
"Intellectual property",243
"Intelligence activities, surveillance, classified information",399
"Inter-American Foundation",11
"Interagency Council on Homelessness",10
"Interest, dividends, interest rates",260
"Intergovernmental relations",820
"Internal Revenue Service (IRS)",162
"International Affairs",9
"International exchange and broadcasting",108
"International law and treaties",394
"International monetary system and foreign exchange",51
"International organizations and cooperation",615
"International scientific cooperation",15
"Internet and video services",570
"Iowa",35
"Iran",208
"Iraq",207
"Ireland",12
"Israel",322
"Italy",12
"Ivory Coast",2
"Jamaica",3
"Japan",64
"Japan-U.S. Friendship Commission",1
"Joint Committee on Printing",4
"Joint Committee on Taxation",3
"Joint Committee on the Library",7
"Joint Economic Committee",10
"Jordan",40
"Judges",139
"Judicial procedure and administration",259
"Judicial review and appeals",367
"Jurisdiction and venue",135
"Juvenile crime and gang violence",158
"Kansas",57
"Kazakhstan",4
"Kentucky",40
"Kenya",9
"Kiribati",1
"Kosovo",3
"Kuwait",34
"Kyrgyzstan",2
"Labor and Employment",6
"Labor standards",209
"Labor-management relations",242
"Lakes and rivers",244
"Land transfers",723
"Land use and conservation",604
"Language arts",87
"Laos",19
"Latin America",391
"Latvia",12
"Law",1343
"Law enforcement administration and funding",629
"Law enforcement officers",482
"Lawyers and legal services",216
"Lease and rental services",24
"Lebanon",35
"Legal Services Corporation",13
"Legal fees and court costs",237
"Legislative rules and procedure",729
"Liberia",13
"Libraries and archives",63
"Library of Congress",60
"Libya",48
"Licensing and registrations",1155
"Life, casualty, property insurance",101
"Lighting and heating",155
"Literature",10
"Lithuania",14
"Livestock",91
"Long Island Sound",5
"Long-term, rehabilitative, and terminal care",295
"Louisiana",75
"Low- and moderate-income housing",171
"Luxembourg",1
"Macedonia",4
"Madagascar",1
"Maine",26
"Malawi",1
"Malaysia",8
"Maldives",3
"Mali",5
"Malta",1
"Mammals",166
"Manufacturing",392
"Marine Mammal Commission",13
"Marine and coastal resources, fisheries",544
"Marine and inland water transportation",294
"Marine pollution",153
"Marketing and advertising",241
"Marriage and family status",144
"Marshall Islands",28
"Maryland",75
"Massachusetts",63
"Materials",61
"Meat",48
"Medicaid",468
"Medical education",338
"Medical ethics",78
"Medical research",684
"Medical tests and diagnostic methods",485
"Medicare",901
"Medicare Payment Advisory Commission",9
"Members of Congress",492
"Mental health",576
"Merit Systems Protection Board",38
"Metals",126
"Mexico",447
"Michigan",60
"Micronesia",28
"Middle East",675
"Migrant, seasonal, agricultural labor",79
"Military assistance, sales, and agreements",282
"Military civil functions",40
"Military command and structure",80
"Military education and training",201
"Military facilities and property",305
"Military history",224
"Military law",71
"Military medicine",253
"Military operations and strategy",360
"Military personnel and dependents",1045
"Military procurement, research, weapons development",238
"Military readiness",65
"Militias and paramilitary groups",2
"Mining",241
"Minnesota",83
"Minority and disadvantaged businesses",150
"Minority education",243
"Minority employment",80
"Minority health",197
"Mississippi",120
"Mississippi River",31
"Missouri",76
"Missouri River",6
"Moldova",14
"Monetary policy",28
"Mongolia",2
"Montana",124
"Montenegro",3
"Montserrat",3
"Monuments and memorials",208
"Morocco",15
"Motor carriers",159
"Motor fuels",215
"Motor vehicles",344
"Mozambique",1
"Multilateral development programs",78
"Musculoskeletal and skin diseases",52
"Museums, exhibitions, cultural centers",243
"Music",59
"National Aeronautics and Space Administration",47
"National Archives and Records Administration",33
"National Capital Planning Commission",8
"National Council on Disability",10
"National Credit Union Administration",54
"National Foundation on the Arts and the Humanities",8
"National Guard and reserves",253
"National Institutes of Health (NIH)",109
"National Labor Relations Board (NLRB)",43
"National Mediation Board",8
"National Railroad Passenger Corporation (Amtrak)",38
"National Science Foundation",45
"National Security Agency",16
"National Transportation Safety Board (NTSB)",14
"National and community service",61
"National symbols",65
"Native Americans",4
"Natural disasters",198
"Navigation, waterways, harbors",202
"Nebraska",70
"Neighborhood Reinvestment Corporation",10
"Nepal",26
"Netherlands",5
"Neurological disorders",268
"Nevada",139
"New Hampshire",20
"New Jersey",92
"New Mexico",171
"New York City",73
"New York State",138
"New Zealand",7
"News media and reporting",116
"Nicaragua",14
"Niger",42
"Nigeria",31
"Noise pollution",35
"Normal trade relations, most-favored-nation treatment",8
"North America",7
"North Carolina",96
"North Dakota",53
"North Korea",82
"Northern Ireland",3
"Northern Mariana Islands",104
"Norway",4
"Nuclear Regulatory Commission (NRC)",33
"Nuclear Waste Technical Review Board",9
"Nuclear power",133
"Nuclear weapons",232
"Nursing",125
"Nutrition and diet",251
"Occupational Safety and Health Review Commission",14
"Oceania",32
"Office of Government Ethics",11
"Office of Management and Budget (OMB)",94
"Office of Personnel Management (OPM)",56
"Office of Science and Technology Policy",10
"Office of Special Counsel",15
"Office of the U.S. Trade Representative",25
"Ohio",69
"Oil and gas",684
"Oklahoma",47
"Olympic games",34
"Oman",4
"Oregon",163
"Organ and tissue donation and transplantation",56
"Organization of American States",6
"Organized crime",63
"Outdoor recreation",258
"Overseas Private Investment Corporation (OPIC)",20
"Pacific Ocean",83
"Pakistan",62
"Palau",39
"Palestinians",96
"Panama",10
"Panama Canal",2
"Parks, recreation areas, trails",495
"Peace Corps",24
"Pedestrians and bicycling",60
"Pennsylvania",106
"Pension Benefit Guaranty Corporation",10
"Performance measurement",766
"Performing arts",49
"Persian Gulf",9
"Persian Gulf States",5
"Personnel records",155
"Peru",5
"Pest management",90
"Philippines",63
"Photography and imaging",43
"Physical fitness and lifestyle",122
"Pipelines",156
"Poland",24
"Policy sciences",45
"Political advertising",60
"Political movements and philosophies",117
"Political parties and affiliation",54
"Political representation",3
"Pollution liability",122
"Pornography",56
"Portugal",11
"Postal Regulatory Commission",18
"Postal service",348
"Poverty and welfare assistance",495
"Preschool education",153
"Prescription drugs",390
"Presidential administrations",21
"Presidents and presidential powers, Vice Presidents",366
"Privacy and Civil Liberties Oversight Board",27
"Private Legislation",1
"Product development and innovation",33
"Product safety and quality",171
"Professional sports",125
"Property rights",93
"Property tax",39
"Protection of officials",43
"Protest and dissent",104
"Public Lands and Natural Resources",12
"Public contracts and procurement",1107
"Public housing",91
"Public participation and lobbying",188
"Public transit",191
"Public utilities and utility rates",214
"Public-private cooperation",439
"Puerto Rico",133
"Puget Sound",3
"Qatar",14
"Racial and ethnic relations",488
"Radiation",43
"Radioactive wastes and releases",80
"Railroad Retirement Board",10
"Railroads",262
"Real estate business",76
"Reconstruction and stabilization",52
"Refugees, asylum, displaced persons",284
"Regional and metropolitan planning",51
"Religion",421
"Reptiles",16
"Research administration and funding",850
"Research and development",511
"Research ethics",3
"Residential rehabilitation and home repair",208
"Retail and wholesale trades",268
"Rhode Island",36
"Right of privacy",432
"Roads and highways",448
"Romania",12
"Rule of law and government transparency",150
"Rural conditions and development",516
"Russia",139
"Rwanda",8
"Saint Kitts and Nevis",6
"Saint Lawrence Seaway",11
"Saint Lucia",6
"Saint Vincent and the Grenadines",6
"Sales and excise taxes",490
"Samoa",82
"Sanctions",304
"Saudi Arabia",26
"School administration",329
"School athletics",104
"Science and engineering education",275
"Science, Technology, Communications",10
"Scientific communication",37
"Scotland",3
"Seafood",71
"Seashores and lakeshores",34
"Securities",691
"Securities and Exchange Commission (SEC)",144
"Selective Service System",16
"Self-employed",54
"Senate",547
"Senate Committee on Agriculture, Nutrition, and Forestry",15
"Senate Committee on Appropriations",9
"Senate Committee on Armed Services",12
"Senate Committee on Banking, Housing, and Urban Affairs",12
"Senate Committee on Commerce, Science, and Transportation",18
"Senate Committee on Energy and Natural Resources",13
"Senate Committee on Environment and Public Works",15
"Senate Committee on Finance",16
"Senate Committee on Foreign Relations",16
"Senate Committee on Health, Education, Labor, and Pensions",12
"Senate Committee on Homeland Security and Governmental Affairs",19
"Senate Committee on Indian Affairs",13
"Senate Committee on Rules and Administration",17
"Senate Committee on Small Business and Entrepreneurship",18
"Senate Committee on Veterans' Affairs",13
"Senate Committee on the Budget",18
"Senate Committee on the Judiciary",15
"Senate Select Committee on Ethics",6
"Senate Select Committee on Intelligence",13
"Senate Special Committee on Aging",13
"Senegal",3
"Separation, divorce, custody, support",91
"Serbia",10
"Service animals",24
"Service industries",26
"Sex and reproductive health",159
"Sex offenses",398
"Sex, gender, sexual orientation discrimination",320
"Sexually transmitted diseases",33
"Sierra Leone",8
"Singapore",9
"Slovakia",4
"Slovenia",3
"Small Business Administration",80
"Small business",780
"Small towns",19
"Smithsonian Institution",66
"Smuggling and trafficking",120
"Social Sciences and History",5
"Social Security Administration",58
"Social Welfare",5
"Social security and elderly assistance",314
"Social work, volunteer service, charitable organizations",640
"Soil pollution",20
"Solid waste and recycling",253
"Solomon Islands",1
"Somalia",30
"Sound recording",39
"South Africa",13
"South Carolina",53
"South Dakota",55
"South Korea",63
"South Sudan",22
"Sovereignty, recognition, national governance and status",270
"Space flight and exploration",68
"Spacecraft and satellites",90
"Spain",5
"Special education",115
"Specialized courts",99
"Sports and recreation facilities",53
"Sri Lanka",14
"State and local courts",46
"State and local finance",435
"State and local government operations",1506
"State and local taxation",141
"Strategic materials and reserves",76
"Student aid and college costs",875
"Student records",45
"Subversive activities",4
"Sudan",45
"Supreme Court",97
"Surface Transportation Board",17
"Surgery and anesthesia",71
"Suriname",3
"Sweden",2
"Switzerland",3
"Syria",206
"Taiwan",37
"Tajikistan",3
"Tanzania",4
"Tariffs",144
"Tax administration and collection, taxpayers",800
"Tax reform and tax simplification",47
"Tax treatment of families",113
"Tax-exempt organizations",233
"Taxation",159
"Taxation of foreign income",150
"Teaching, teachers, curricula",785
"Technology assessment",93
"Technology transfer and commercialization",192
"Teenage pregnancy",38
"Telecommunication rates and fees",49
"Telephone and wireless communication",345
"Television and film",93
"Temporary and part-time employment",71
"Tennessee",68
"Tennessee Valley Authority",2
"Terrorism",779
"Texas",214
"Thailand",20
"Tibet",19
"Trade adjustment assistance",26
"Trade agreements and negotiations",172
"Trade and Development Agency",14
"Trade restrictions",464
"Trade secrets and economic espionage",30
"Transfer and inheritance taxes",58
"Transportation and Public Works",7
"Transportation costs",231
"Transportation employees",228
"Transportation programs funding",448
"Transportation safety and security",637
"Travel and tourism",265
"Trinidad and Tobago",3
"Tunisia",14
"Turkey",36
"Turkmenistan",1
"Turks and Caicos",3
"Tuvalu",1
"U.S. Agency for International Development (USAID)",49
"U.S. Capitol",102
"U.S. Commission on International Religious Freedom",24
"U.S. Holocaust Memorial Council",6
"U.S. Institute of Peace",6
"U.S. International Trade Commission",22
"U.S. Postal Service",67
"U.S. Sentencing Commission",56
"U.S. and foreign investments",158
"U.S. history",206
"U.S. territories and protectorates",188
"U.S.S.R.",3
"Uganda",14
"Ukraine",82
"Unemployment",355
"United Arab Emirates",7
"United Kingdom",40
"United Nations",191
"Urban and suburban affairs and development",126
"User charges and fees",658
"Utah",102
"Uzbekistan",11
"Vanuatu",1
"Vatican City",2
"Venezuela",18
"Vermont",20
"Veterans' education, employment, rehabilitation",590
"Veterans' loans, housing, homeless programs",224
"Veterans' medical care",797
"Veterans' organizations and recognition",242
"Veterans' pensions and compensation",373
"Veterinary medicine and animal diseases",72
"Vietnam",84
"Violent crime",406
"Virgin Islands",91
"Virginia",178
"Visas and passports",457
"Vocational and technical education",265
"Voting rights",91
"Wages and earnings",630
"War and emergency powers",112
"War crimes, genocide, crimes against humanity",143
"Washington State",163
"Water Resources Development",5
"Water quality",559
"Water resources funding",233
"Water storage",121
"Water use and supply",514
"Watersheds",170
"West Bank",35
"West Virginia",32
"Western Hemisphere",9
"Wetlands",114
"Wilderness and natural areas, wildlife refuges, wild rivers, habitats",322
"Wildlife conservation and habitat protection",521
"Wisconsin",43
"Women in business",94
"Women's education",96
"Women's employment",123
"Women's health",372
"Women's rights",142
"Worker safety and health",259
"World health",163
"World history",28
"Wyoming",66
"Yemen",32
"Youth employment and child labor",142
"Zambia",1
"Zimbabwe",11
